"Id","Label","Name","Provided","Treeshaked","Used"
9422,"../node_modules/react-hot-loader/patch.js","../node_modules/react-hot-loader/patch.js",7,0,0
7505,"./index.tsx","./index.tsx",0,0,0
6602,"../node_modules/react-hot-loader/dist/react-hot-loader.production.min.js","../node_modules/react-hot-loader/dist/react-hot-loader.production.min.js",7,0,-1
7378,"../node_modules/react/index.js","../node_modules/react/index.js",28,100,
6794,"../node_modules/@hot-loader/react-dom/index.js","../node_modules/@hot-loader/react-dom/index.js",11,0.09090909090909091,1
4246,"../node_modules/react/jsx-runtime.js","../node_modules/react/jsx-runtime.js",3,1,3
8150,"./app/ui/app/app.tsx","./app/ui/app/app.tsx",2,0.5,1
1535,"../node_modules/react/cjs/react.production.min.js","../node_modules/react/cjs/react.production.min.js",28,100,
5771,"../node_modules/@hot-loader/react-dom/cjs/react-dom.production.min.js","../node_modules/@hot-loader/react-dom/cjs/react-dom.production.min.js",11,0.09090909090909091,1
1426,"../node_modules/react/cjs/react-jsx-runtime.production.min.js","../node_modules/react/cjs/react-jsx-runtime.production.min.js",3,1,3
8289,"../node_modules/use-query-params/esm/index.js","../node_modules/use-query-params/esm/index.js",48,0.125,6
7575,"./app/ui/app/app.css","./app/ui/app/app.css",0,0,0
1183,"../node_modules/react-hot-loader/root.js","../node_modules/react-hot-loader/root.js",1,1,1
9041,"../node_modules/effector-react/effector-react.mjs","../node_modules/effector-react/effector-react.mjs",11,0.36363636363636365,4
6662,"./app/model.ts","./app/model.ts",1,1,1
3620,"../node_modules/react-router/esm/react-router.js","../node_modules/react-router/esm/react-router.js",16,0.375,6
4123,"./shared/router/model/store.ts","./shared/router/model/store.ts",5,0.6,3
8996,"./app/ui/layout.tsx","./app/ui/layout.tsx",1,1,1
4289,"../node_modules/react-router-dom/esm/react-router-dom.js","../node_modules/react-router-dom/esm/react-router-dom.js",18,0.1111111111111111,2
4300,"./shared/router/config.ts","./shared/router/config.ts",1,1,1
8715,"../node_modules/react-error-boundary/dist/react-error-boundary.umd.js","../node_modules/react-error-boundary/dist/react-error-boundary.umd.js",-1,-1,-1
3954,"./shared/ui/spinner/index.tsx","./shared/ui/spinner/index.tsx",1,1,1
2931,"./shared/router/private-route.tsx","./shared/router/private-route.tsx",1,1,1
4472,"./shared/ui/page/index.tsx","./shared/ui/page/index.tsx",1,1,1
7749,"./shared/ui/pre/index.tsx","./shared/ui/pre/index.tsx",1,1,1
7765,"./shared/ui/button.tsx","./shared/ui/button.tsx",1,1,1
7010,"./pages/login/index.tsx","./pages/login/index.tsx",1,100,
4659,"./pages/registration/index.tsx","./pages/registration/index.tsx",1,100,
2121,"./pages/home/index.tsx","./pages/home/index.tsx",1,100,
7638,"./pages/editor/index.tsx","./pages/editor/index.tsx",1,100,
4859,"./pages/settings/index.tsx","./pages/settings/index.tsx",1,100,
3224,"./pages/profile/index.tsx","./pages/profile/index.tsx",1,100,
3647,"./pages/article/index.tsx","./pages/article/index.tsx",1,100,
8771,"./pages/no-match.tsx","./pages/no-match.tsx",1,100,
2525,"../node_modules/object-assign/index.js","../node_modules/object-assign/index.js",-1,-1,-1
1102,"../node_modules/scheduler/index.js","../node_modules/scheduler/index.js",19,100,
3596,"../node_modules/serialize-query-params/esm/index.js","../node_modules/serialize-query-params/esm/index.js",42,0.14285714285714285,6
8359,"../node_modules/use-query-params/esm/useQueryParam.js","../node_modules/use-query-params/esm/useQueryParam.js",1,1,1
3086,"../node_modules/use-query-params/esm/useQueryParams.js","../node_modules/use-query-params/esm/useQueryParams.js",2,0.5,1
7852,"../node_modules/use-query-params/esm/withQueryParams.js","../node_modules/use-query-params/esm/withQueryParams.js",3,0,0
5596,"../node_modules/use-query-params/esm/QueryParams.js","../node_modules/use-query-params/esm/QueryParams.js",2,0,0
1804,"../node_modules/use-query-params/esm/QueryParamProvider.js","../node_modules/use-query-params/esm/QueryParamProvider.js",3,0.3333333333333333,1
1549,"../node_modules/effector/effector.mjs","../node_modules/effector/effector.mjs",29,0.5172413793103449,15
3416,"./entities/visitor/model/store.ts","./entities/visitor/model/store.ts",8,0.75,6
4703,"./shared/config.ts","./shared/config.ts",2,1,2
9285,"../node_modules/mini-create-react-context/dist/esm/index.js","../node_modules/mini-create-react-context/dist/esm/index.js",1,1,1
3219,"../node_modules/@babel/runtime/helpers/esm/inheritsLoose.js","../node_modules/@babel/runtime/helpers/esm/inheritsLoose.js",1,1,1
3615,"../node_modules/prop-types/index.js","../node_modules/prop-types/index.js",-1,-1,-1
405,"../node_modules/path-to-regexp/index.js","../node_modules/path-to-regexp/index.js",-1,-1,-1
8262,"../node_modules/react-router/node_modules/react-is/index.js","../node_modules/react-router/node_modules/react-is/index.js",28,0,0
5839,"../node_modules/hoist-non-react-statics/dist/hoist-non-react-statics.cjs.js","../node_modules/hoist-non-react-statics/dist/hoist-non-react-statics.cjs.js",-1,-1,-1
2892,"../node_modules/history/esm/history.js","../node_modules/history/esm/history.js",7,0.8571428571428571,6
5773,"../node_modules/@babel/runtime/helpers/esm/extends.js","../node_modules/@babel/runtime/helpers/esm/extends.js",1,1,1
1115,"../node_modules/tiny-invariant/dist/tiny-invariant.esm.js","../node_modules/tiny-invariant/dist/tiny-invariant.esm.js",1,1,1
808,"../node_modules/@babel/runtime/helpers/esm/objectWithoutPropertiesLoose.js","../node_modules/@babel/runtime/helpers/esm/objectWithoutPropertiesLoose.js",1,1,1
9643,"./app/ui/header.tsx","./app/ui/header.tsx",1,1,1
1650,"./shared/ui/container.tsx","./shared/ui/container.tsx",1,1,1
2556,"./app/ui/logo.tsx","./app/ui/logo.tsx",1,1,1
6075,"./app/ui/navigation.tsx","./app/ui/navigation.tsx",1,1,1
3128,"./shared/ui/nav-item.tsx","./shared/ui/nav-item.tsx",1,1,1
